pclass,age,sex,number_of_survivors
3,22,female,12
2,24,female,9
3,18,female,8
3,32,male,8
1,30,female,8
1,35,female,8
3,16,female,8
3,25,male,7
1,24,female,7
3,19,female,7
3,24,female,7
1,22,female,7
1,39,female,6
1,33,female,6
2,28,female,5
1,48,female,5
3,5,female,5
3,21,male,5
2,29,female,5
1,18,female,5
3,29,male,5
1,45,female,5
3,23,female,4
1,45,male,4
1,23,female,4
3,36,female,4
3,27,female,4
3,20,male,4
2,36,female,4
1,36,female,4
2,30,female,4
1,54,female,4
2,20,female,4
1,36,male,4
2,34,female,4
3,30,female,4
1,21,female,4
1,58,female,4
3,24,male,4
3,1,male,3
2,19,female,3
1,48,male,3
3,9,male,3
1,17,female,3
3,4,female,3
1,27,female,3
1,16,female,3
1,60,female,3
3,1,female,3
2,31,female,3
1,31,female,3
3,26,male,3
2,25,female,3
1,42,male,3
1,38,female,3
3,26,female,3
2,22,female,3
2,40,female,3
3,18,male,3
1,49,male,3
3,15,female,3
2,50,female,3
1,19,female,3
1,27,male,3
2,24,male,3
1,35,male,3
3,22,male,3
3,13,female,3
1,25,male,3
2,45,female,3
1,55,female,3
1,43,female,3
3,27,male,3
2,8,male,2
3,3,male,2
1,44,female,2
3,17,female,2
1,52,female,2
2,48,female,2
2,0.8333,male,2
1,26,female,2
1,29,female,2
1,28,male,2
1,37,male,2
1,53,female,2
3,38,female,2
3,31,male,2
2,3,male,2
3,39,male,2
2,2,male,2
3,35,female,2
2,42,female,2
2,21,female,2
2,27,female,2
1,40,female,2
1,47,female,2
3,33,female,2
2,17,female,2
2,33,female,2
1,53,male,2
3,31,female,2
1,49,female,2
1,34,male,2
2,1,male,2
1,64,female,2
1,31,male,2
3,45,female,2
1,51,male,2
2,8,female,2
1,51,female,2
3,0.1667,female,2
2,12,female,2
1,50,female,2
3,0.75,female,2
2,18,female,2
2,4,female,2
1,17,male,1
3,23,male,1
2,32,male,1
3,2,female,1
1,28,female,1
3,34,female,1
2,5,female,1
1,25,female,1
2,35,female,1
2,2,female,1
3,39,female,1
3,38,male,1
1,52,male,1
1,62,female,1
1,23,male,1
3,14,male,1
2,7,female,1
2,23,female,1
1,43,male,1
3,7,male,1
3,53,female,1
1,41,female,1
1,50,male,1
1,40,male,1
2,26,male,1
1,11,male,1
1,6,male,1
1,76,female,1
2,19,male,1
2,0.6667,male,1
1,80,male,1
3,44,male,1
1,32,female,1
1,32,male,1
3,4,male,1
2,32,female,1
2,30,male,1
2,41,female,1
3,42,female,1
2,0.9167,female,1
1,0.9167,male,1
1,59,female,1
1,37,female,1
2,29,male,1
2,31,male,1
3,21,female,1
2,13,female,1
3,30.5,female,1
2,3,female,1
3,63,female,1
3,19,male,1
3,36.5,male,1
3,47,female,1
2,15,female,1
1,42,female,1
1,30,male,1
3,14,female,1
2,1,female,1
2,54,female,1
2,6,female,1
1,15,female,1
1,56,male,1
1,58,male,1
2,20,male,1
3,28,male,1
3,9,female,1
2,22,male,1
3,30,male,1
2,62,male,1
1,56,female,1
2,14,female,1
3,0.8333,male,1
1,24,male,1
1,13,male,1
1,14,female,1
3,2,male,1
3,45,male,1
2,55,female,1
3,16,male,1
1,21,male,1
2,26,female,1
1,60,male,1
3,40.5,male,1
2,34,male,1
2,42,male,1
1,38,male,1
3,0.4167,male,1
2,32.5,female,1
3,12,male,1
1,4,male,1
1,26,male,1
1,54,male,1
3,29,female,1
1,39,male,1
1,63,female,1
3,6,male,1
